iter	Passed	Remaining
0	11	11346
1	32	16024
2	56	18616
3	80	20006
4	98	19555
5	112	18671
6	123	17509
7	133	16537
8	152	16762
9	164	16241
10	173	15612
11	183	15090
12	209	15887
13	222	15648
14	231	15192
15	241	14830
16	250	14513
17	265	14464
18	296	15319
19	331	16238
20	344	16057
21	353	15703
22	362	15387
23	392	15969
24	407	15875
25	418	15661
26	428	15457
27	438	15214
28	447	14977
29	460	14878
30	468	14638
31	477	14434
32	486	14268
33	497	14123
34	507	13981
35	569	15240
36	591	15389
37	604	15309
38	614	15141
39	622	14935
40	630	14756
41	677	15462
42	692	15419
43	704	15312
44	713	15148
45	737	15304
46	746	15131
47	754	14964
48	762	14808
49	771	14656
50	783	14577
51	806	14697
52	818	14621
53	828	14507
54	836	14372
55	845	14251
56	853	14128
57	862	14009
58	871	13899
59	880	13795
60	890	13708
61	906	13707
62	922	13716
63	937	13705
64	946	13610
65	968	13700
66	977	13615
67	988	13543
68	998	13478
69	1009	13411
70	1019	13338
71	1029	13269
72	1039	13194
73	1049	13127
74	1058	13057
75	1067	12983
76	1077	12913
77	1087	12851
78	1096	12783
79	1105	12718
80	1115	12661
81	1135	12709
82	1143	12638
83	1152	12566
84	1160	12497
85	1183	12580
86	1192	12518
87	1201	12454
88	1214	12434
89	1226	12402
90	1239	12385
91	1250	12339
92	1263	12321
93	1290	12440
94	1300	12389
95	1309	12331
96	1320	12293
97	1330	12248
98	1353	12314
99	1363	12269
100	1371	12212
101	1380	12154
102	1389	12097
103	1398	12044
104	1413	12045
105	1422	11998
106	1432	11956
107	1441	11907
108	1460	11941
109	1469	11886
110	1478	11838
111	1489	11808
112	1497	11754
113	1507	11714
114	1517	11678
115	1525	11627
116	1534	11580
117	1543	11538
118	1552	11492
119	1562	11458
120	1572	11424
121	1582	11390
122	1591	11349
123	1600	11307
124	1610	11271
125	1677	11634
126	1688	11608
127	1697	11563
128	1707	11528
129	1720	11512
130	1728	11467
131	1737	11426
132	1746	11386
133	1764	11403
134	1772	11359
135	1807	11479
136	1822	11477
137	1831	11441
138	1841	11406
139	1849	11363
140	1858	11323
141	1866	11280
142	1875	11239
143	1884	11199
144	1892	11160
145	1901	11120
146	1910	11084
147	1918	11045
148	1926	11004
149	1935	10966
150	1944	10931
151	1952	10893
152	1961	10856
153	1970	10822
154	1979	10789
155	1994	10792
156	2003	10757
157	2011	10719
158	2018	10675
159	2027	10643
160	2036	10610
161	2056	10639
162	2097	10770
163	2117	10794
164	2128	10769
165	2139	10747
166	2147	10710
167	2155	10674
168	2171	10679
169	2183	10661
170	2196	10647
171	2216	10669
172	2227	10650
173	2236	10616
174	2245	10584
175	2266	10610
176	2277	10588
177	2287	10562
178	2296	10533
179	2305	10503
180	2314	10471
181	2322	10438
182	2332	10414
183	2342	10387
184	2351	10360
185	2361	10333
186	2369	10300
187	2376	10264
188	2400	10301
189	2411	10282
190	2421	10254
191	2429	10223
192	2438	10197
193	2447	10169
194	2457	10143
195	2465	10112
196	2474	10088
197	2487	10075
198	2495	10045
199	2503	10015
200	2512	9985
201	2521	9961
202	2530	9933
203	2539	9909
204	2547	9880
205	2555	9849
206	2563	9820
207	2571	9792
208	2578	9760
209	2587	9733
210	2654	9925
211	2675	9946
212	2687	9929
213	2696	9904
214	2705	9878
215	2718	9865
216	2726	9837
217	2736	9816
218	2746	9795
219	2773	9831
220	2811	9911
221	2819	9881
222	2828	9855
223	2837	9829
224	2845	9802
225	2856	9781
226	2866	9760
227	2896	9808
228	2924	9845
229	2937	9834
230	2953	9833
231	2967	9823
232	2985	9828
233	2997	9813
234	3062	9970
235	3083	9981
236	3094	9961
237	3106	9946
238	3113	9914
239	3165	10024
240	3184	10029
241	3195	10010
242	3206	9988
243	3216	9964
244	3225	9939
245	3279	10051
246	3297	10054
247	3310	10036
248	3319	10012
249	3342	10028
250	3354	10011
251	3364	9987
252	3383	9990
253	3392	9964
254	3400	9936
255	3410	9912
256	3420	9887
257	3428	9860
258	3436	9831
259	3444	9804
260	3469	9824
261	3482	9810
262	3492	9786
263	3501	9760
264	3510	9736
265	3519	9712
266	3527	9685
267	3537	9661
268	3544	9633
269	3552	9606
270	3561	9579
271	3570	9556
272	3580	9536
273	3589	9510
274	3598	9487
275	3615	9485
276	3624	9461
277	3634	9440
278	3643	9416
279	3652	9392
280	3662	9371
281	3672	9350
282	3681	9328
283	3691	9306
284	3699	9281
285	3709	9260
286	3718	9238
287	3727	9215
288	3734	9188
289	3742	9161
290	3750	9138
291	3760	9117
292	3768	9093
293	3777	9072
294	3786	9050
295	3795	9028
296	3805	9007
297	3858	9090
298	3876	9088
299	3887	9070
300	3914	9090
301	3926	9074
302	3934	9051
303	3943	9027
304	3951	9003
305	3960	8981
306	3968	8959
307	3982	8947
308	3991	8925
309	3999	8901
310	4018	8901
311	4028	8883
312	4041	8869
313	4050	8849
314	4060	8829
315	4068	8807
316	4077	8784
317	4084	8759
318	4092	8736
319	4101	8715
320	4110	8695
321	4119	8674
322	4203	8810
323	4220	8806
324	4231	8787
325	4239	8765
326	4261	8770
327	4272	8752
328	4289	8748
329	4304	8739
330	4312	8716
331	4321	8694
332	4328	8670
333	4337	8648
334	4345	8626
335	4355	8607
336	4365	8588
337	4388	8594
338	4399	8578
339	4408	8557
340	4416	8534
341	4424	8513
342	4449	8522
343	4460	8506
344	4471	8489
345	4492	8490
346	4501	8471
347	4511	8451
348	4588	8559
349	4618	8576
350	4648	8595
351	4661	8582
352	4674	8567
353	4740	8650
354	4759	8647
355	4774	8636
356	4786	8621
357	4798	8605
358	4813	8593
359	4821	8572
360	4869	8619
361	4883	8607
362	4894	8589
363	4903	8567
364	4948	8609
365	4967	8604
366	4977	8585
367	4986	8564
368	4996	8544
369	5006	8524
370	5030	8527
371	5052	8530
372	5078	8536
373	5090	8520
374	5107	8511
375	5116	8490
376	5154	8518
377	5171	8510
378	5183	8492
379	5201	8485
380	5216	8475
381	5227	8456
382	5241	8443
383	5299	8500
384	5329	8513
385	5345	8502
386	5358	8487
387	5370	8470
388	5401	8483
389	5447	8519
390	5463	8509
391	5478	8497
392	5492	8482
393	5505	8468
394	5539	8484
395	5601	8544
396	5620	8536
397	5633	8520
398	5642	8498
399	5650	8475
400	5658	8452
401	5669	8434
402	5698	8442
403	5705	8417
404	5714	8395
405	5723	8373
406	5731	8350
407	5741	8330
408	5749	8308
409	5758	8286
410	5782	8287
411	5795	8271
412	5804	8250
413	5812	8228
414	5821	8206
415	5831	8186
416	5859	8191
417	5872	8176
418	5886	8162
419	5897	8144
420	5915	8135
421	5951	8151
422	5959	8128
423	6018	8176
424	6031	8159
